,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
334,广东金砖天网信息科技有限公司,金砖天网,15-50人,天使轮,白云区,PHP程序员,1-3年,大专,6k-8k,"领导好,发展前景好,工作氛围好工作环境好","电商,医疗丨健康",开发|测试|运维类,"技能培训,专项奖金,股票期权,绩效奖金",企业软件,广州
335,新疆维吾尔自治区广播电视研究所,广播电视研究所,150-500人,不需要融资,天山区,php开发工程师,1-3年,本科,8k-12k,五险一金 周末双休 地铁周边 扁平化管理,其他,开发|测试|运维类,,后端开发,乌鲁木齐
336,上海威超广告有限公司,上海威超广告有限公司,50-150人,不需要融资,长宁区,php开发工程师,3-5年,不限,18k-20k,五险一金 国外旅游 补充医疗保险,"电商,广告营销",开发|测试|运维类,,后端开发,上海
337,深圳市中顺和盈科技有限公司,A星互动娱乐,50-150人,未融资,南山区,高级php开发工程师,5-10年,本科,15k-30k,带薪年假丰富培训弹性工作时间年度旅游,移动互联网,开发|测试|运维类,"年底双薪,绩效奖金,带薪年假,五险一金",后端开发,深圳
338,成都高健文化传播有限公司,高健文化传播,少于15人,未融资,锦江区,php工程师,1-3年,不限,5k-7k,无,企业服务,开发|测试|运维类,,后端开发,成都
339,北京小熊美家科技有限公司,小熊美家,50-150人,A轮,海淀区,PHP高级开发工程师,5-10年,本科,18k-30k,五险一金+水果零食+节假日福利+餐补车补,"消费生活,企业服务",开发|测试|运维类,,后端开发,北京
340,广州久邦世纪科技有限公司,久邦GOMO,500-2000人,不需要融资,越秀区,php开发工程师,1-3年,大专,8k-13k,周末双休，五险一金,"移动互联网,游戏",开发|测试|运维类,"扁平管理,弹性工作,带薪年假,绩效奖金",后端开发,广州
341,厦门掌鑫科技有限公司,厦门掌鑫,15-50人,未融资,湖里区,php工程师,1-3年,不限,12k-20k,充满无限可能的团队，期待着您的加入!,移动互联网,开发|测试|运维类,,后端开发,厦门
342,厦门掌鑫科技有限公司,厦门掌鑫,15-50人,未融资,湖里区,php工程师,1-3年,不限,12k-20k,充满无限可能的团队，期待着您的加入！,移动互联网,开发|测试|运维类,,后端开发,厦门
343,新浪网技术（中国）有限公司,新浪网,2000人以上,上市公司,海淀区,php开发工程师,3-5年,本科,20k-35k,核心部门,文娱丨内容,开发|测试|运维类,"免费班车,岗位晋升,五险一金,定期体检",后端开发,北京
344,深圳市财盈通科技有限公司,财盈通,500-2000人,不需要融资,龙岗区,php开发工程师,3-5年,本科,12k-18k,可接触到高并发，大牌项目，奖金多,"移动互联网,电商",开发|测试|运维类,"专项奖金,绩效奖金,年终分红,定期体检",后端开发,深圳
345,广州摩翼信息科技有限公司,翼课网,500-2000人,不需要融资,大兴区,PHP研发工程师,在校/应届,本科,9k-15k,"大牛带飞,队友奈斯,弹性上班","移动互联网,教育",开发|测试|运维类,"节日礼物,在线教育,岗位晋升,五险一金",后端开发,北京
346,四川金仁医药集团有限公司,金仁医药,150-500人,不需要融资,金牛区,php程序员,1-3年,大专,6k-10k,稳定，双休，医药行业，不加班,医疗丨健康,开发|测试|运维类,"节日礼物,绩效奖金,年度旅游,岗位晋升",后端开发,成都
347,杭州微拍堂文化创意有限公司,微拍堂,500-2000人,A轮,西湖区,php开发工程师,3-5年,本科,15k-30k,六险一金，周末双休,"移动互联网,电商",开发|测试|运维类,"岗位晋升,年度旅游,年底双薪,午餐补助",后端开发,杭州
348,上海群之脉信息科技有限公司,群之脉,150-500人,不需要融资,浦东新区,php开发工程师,1-3年,本科,8k-14k,年度体检；加班调休；年终奖；发展空间大；,"企业服务,软件开发",开发|测试|运维类,"带薪年假,定期体检,绩效奖金",后端开发,上海
349,广州大麦科技有限公司,大麦科技,15-50人,不需要融资,天河区,php高级工程师,3-5年,大专,13k-15k,地铁周边，五险一金，团队氛围好,电商,开发|测试|运维类,,后端开发,广州
