,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
148,深圳小步网络科技有限公司,小步网络,150-500人,B轮,宝安区,Python后台开发工程师,3-5年,本科,15k-30k,"待遇优厚,成长空间大,弹性上班,下午茶",移动互联网,开发|测试|运维类,"股票期权,定期体检,下午茶,年度旅游",后端开发,深圳
149,北京众标智能科技有限公司上海分公司,众标智能科技,50-150人,A轮,普陀区,python后台开发工程师,1-3年,本科,10k-20k,"靠谱团队,大数据,待遇优厚","电商,企业服务",开发|测试|运维类,"股票期权,带薪年假,年度旅游,五险一金",后端开发,上海
150,瀚一数据科技（深圳）有限公司,瀚一数据,15-50人,天使轮,南山区,Python-ETL开发工程师,3-5年,本科,15k-20k,五险一金 | 年底双薪 | 周末双休,"移动互联网,企业服务",开发|测试|运维类,,数据开发,深圳
151,上海策推信息技术有限公司,策推信息,50-150人,天使轮,杨浦区,python算法工程师（杨浦）,1-3年,不限,12k-24k,"五险一金,带薪年假,餐补","数据服务,人工智能",开发|测试|运维类,"带薪年假,午餐补助,扁平管理,五险一金",人工智能,上海
152,北京码上赢网络科技有限公司,码上赢,50-150人,A轮,朝阳区,Python数据开发工程师,3-5年,本科,15k-25k,阿里大牛、零售大数据,"移动互联网,企业服务",开发|测试|运维类,"弹性工作,五险一金,阿里系,牛人多",后端开发,北京
153,北京简单科技有限公司,简单学习网,500-2000人,不需要融资,海淀区,Python后端开发,3-5年,本科,15k-25k,"五险一金,补充医疗,带薪年假,餐补","移动互联网,教育",开发|测试|运维类,"绩效奖金,年底双薪,五险一金,带薪年假",后端开发,北京
154,北京简单科技有限公司,简单学习网,500-2000人,不需要融资,海淀区,Golang/Python开发工程师,3-5年,本科,12k-20k,"五险一金,补充医疗,带薪年假,餐补","移动互联网,教育",开发|测试|运维类,"绩效奖金,年底双薪,五险一金,带薪年假",后端开发,北京
155,广州酷狗计算机科技有限公司,酷狗音乐,500-2000人,上市公司,天河区,PTBU-后端开发工程师（python),3-5年,本科,20k-35k,年终奖金、五险一金、三餐补贴、周末双休,文娱丨内容,开发|测试|运维类,"技能培训,节日礼物,年底双薪,带薪年假",后端开发,广州
156,上海蜜度信息技术有限公司,新浪微舆情,500-2000人,C轮,浦东新区,python高级爬虫工程师,3-5年,本科,15k-20k,五险一金，补充医疗险、通讯交通补贴年终奖,"企业服务,消费生活",开发|测试|运维类,"通讯津贴,交通补助,年底双薪,弹性工作",后端开发,上海
157,上海蜜度信息技术有限公司,新浪微舆情,500-2000人,C轮,浦东新区,python爬虫工程师,1-3年,大专,9k-15k,五险一金，补充医疗险、通讯交通补贴年终奖,"企业服务,消费生活",开发|测试|运维类,"通讯津贴,交通补助,年底双薪,弹性工作",后端开发,上海
158,上海易路软件有限公司,易路,150-500人,C轮,闵行区,Python中级开发工程师,1-3年,本科,12k-18k,五险一金，加班费，C轮创业，期权激励,"移动互联网,企业服务",开发|测试|运维类,"技能培训,年底双薪,绩效奖金,岗位晋升",后端开发,上海
159,上海易路软件有限公司,易路,150-500人,C轮,闵行区,Python高级开发工程师,3-5年,本科,18k-28k,五险一金，加班费，C轮创业，期权激励,"移动互联网,企业服务",开发|测试|运维类,"技能培训,年底双薪,绩效奖金,岗位晋升",后端开发,上海
160,达内时代科技集团有限公司,达内集团,2000人以上,上市公司,海淀区,python人工智能讲师,3-5年,本科,20k-30k,上市公司 六险一金 周末双休 绩效奖金,"移动互联网,教育",教育|培训,"技能培训,股票期权,专项奖金,带薪年假",培训,北京
161,达内时代科技集团有限公司,达内集团,2000人以上,上市公司,海淀区,Python讲师,1-3年,本科,13k-18k,高薪 上市企业 金股奖励 七险一金,"移动互联网,教育",开发|测试|运维类,"技能培训,股票期权,专项奖金,带薪年假",后端开发,北京
162,慧科讯业（北京）网络科技有限公司,慧科讯业,500-2000人,未融资,南山区,python爬虫工程师,3-5年,本科,15k-25k,全球最大的中文媒体信息集成与资讯服务商,文娱丨内容,开发|测试|运维类,"技能培训,节日礼物,年底双薪,带薪年假",数据开发,深圳
163,威讯柏睿数据科技（北京）有限公司,柏睿数据,50-150人,B轮,朝阳区,分布式研发工程师（Python）,1-3年,本科,13k-25k,大数据 多绩效,"数据服务,信息安全",开发|测试|运维类,"股票期权,专项奖金,带薪年假,弹性工作",后端开发,北京
164,北京奥鹏远程教育中心有限公司,慕课网,50-150人,不需要融资,海淀区,Python助教,1-3年,本科,6k-12k,"空间无限大,领导好,团队优秀,团队氛围好","移动互联网,教育",教育|培训,"节日礼物,技能培训,节日礼品卡,月度团建",教师,北京
165,上海快仓智能科技有限公司,快仓智能仓储,150-500人,C轮,徐汇区,高级python开发工程师,3-5年,本科,15k-30k,行业前景好 发展空间大,"硬件,数据服务",开发|测试|运维类,"股票期权,五险一金,弹性工作,午餐补助",后端开发,上海
166,上海淘利资产管理有限公司,淘利资产管理,50-150人,未融资,浦东新区,python开发工程师,3-5年,本科,12k-20k,高新企业，本科入职2年后可直接落沪。,"金融,软件开发",开发|测试|运维类,,后端开发,上海
167,北京视野金融信息服务有限公司,视野金融,50-150人,A轮,南山区,Python开发工程师---0401,3-5年,本科,15k-25k,五险一金 定期团建,"移动互联网,金融",开发|测试|运维类,"股票期权,绩效奖金,岗位晋升,扁平管理",后端开发,深圳
168,北京视野金融信息服务有限公司,视野金融,50-150人,A轮,海淀区,Python数据处理开发工程师-0301,3-5年,本科,10k-15k,五险一金 定期团建,"移动互联网,金融",开发|测试|运维类,"股票期权,绩效奖金,岗位晋升,扁平管理",数据开发,北京
169,OPPO广东移动通信有限公司,OPPO,2000人以上,不需要融资,南山区,高级Python工程师,5-10年,不限,20k-40k,"弹性工作,股票期权,奖金丰厚,福利待遇好",硬件,开发|测试|运维类,"丰厚年终,扁平管理,追求极致,本分",后端开发,深圳
170,北京无极慧通科技有限公司,无极慧通,50-150人,A轮,海淀区,高级python开发工程师,1-3年,本科,10k-15k,"广阔的发展,创业公司,融洽的办公","医疗丨健康,数据服务",开发|测试|运维类,"技能培训,年底双薪,岗位晋升,领导好",数据开发,北京
