,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
94,杭州涂鸦信息技术有限公司,涂鸦智能,500-2000人,C轮,南山区,Java研发架构师,5-10年,本科,25k-35k,技术氛围浓厚，领导超级好,"移动互联网,硬件",开发|测试|运维类,"5星办公环境,年底奖金,团队牛B,五险一金",后端开发,深圳
95,杭州观远数据有限公司,观远数据,150-500人,B轮,余杭区,java开发工程师,3-5年,本科,15k-30k,"最前沿技术,牛逼团队,广阔空间,成长回报","企业服务,数据服务",开发|测试|运维类,"绩效奖金,带薪年假,弹性工作,扁平管理",后端开发,杭州
96,上海易立德信息技术股份有限公司深圳分公司,易立德,500-2000人,不需要融资,龙岗区,高级java开发工程师,5-10年,本科,14k-28k,浮动年终奖 每年两次调薪,软件开发,开发|测试|运维类,,后端开发,深圳
97,上海炫伍科技股份有限公司,炫伍科技,50-150人,上市公司,普陀区,高级java开发工程师,5-10年,本科,14k-22k,优质项目、晋升空间大、工作环境好,"文娱丨内容,移动互联网",开发|测试|运维类,"年底双薪,股票期权,带薪年假,定期体检",后端开发,上海
98,北京眼神科技有限公司,眼神科技,150-500人,A轮,高新区,java开发工程师,3-5年,本科,8k-15k,人工智能,"数据服务,信息安全",开发|测试|运维类,,后端开发,济南
99,绿漫科技有限公司,绿漫科技,50-150人,不需要融资,西湖区,java开发工程师,3-5年,本科,10k-20k,五险一金、下午茶、扁平化管理,移动互联网,开发|测试|运维类,"期权激励,绩效奖金,团队活动,年度旅游",后端开发,杭州
100,纳里健康科技有限公司,纳里健康,150-500人,B轮,滨江区,高级java开发工程师,5-10年,本科,20k-25k,医疗划时代产品、快速的发展、丰厚的回报,医疗丨健康,开发|测试|运维类,"股票期权,带薪年假,弹性工作,帅哥多",后端开发,杭州
101,北京点众科技股份有限公司,点众科技,150-500人,不需要融资,海淀区,高级java开发工程师,5-10年,本科,15k-30k,年终奖、年度体检、全额五险一金,"移动互联网,文娱丨内容",开发|测试|运维类,"年底双薪,股票期权,专项奖金,绩效奖金",后端开发,北京
102,北京妙医佳健康科技集团有限公司,妙健康,150-500人,C轮,朝阳区,高级Java开发工程师,3-5年,本科,20k-30k,六险一金 团建活动 带薪年假 定期体检,移动互联网,开发|测试|运维类,"年度旅游,管理规范,六险一金,弹性工作",后端开发,北京
103,跨越速运集团有限公司,跨越速运,2000人以上,不需要融资,宝安区,高级java开发工程师,5-10年,本科,18k-30k,五险一金、月度之星、免息贷款,其他,开发|测试|运维类,"免费班车,带薪年假,管理规范,领导好",后端开发,深圳
104,上海微创软件股份有限公司,微创软件,2000人以上,不需要融资,西湖区,java开发工程师,不限,大专,10k-20k,领导好，同事好，上升快，发展好，环境好,"企业服务,移动互联网",开发|测试|运维类,"绩效奖金,带薪年假,定期体检,弹性工作",后端开发,杭州
105,杭州老爸标准技术集团有限公司,老爸评测,150-500人,不需要融资,江干区,java开发工程师,5-10年,本科,15k-25k,"六险一金,定期体检,团队活动,地铁站边","电商,文娱丨内容",开发|测试|运维类,"年底双薪,绩效奖金,带薪年假,定期体检",后端开发,杭州
106,深圳市泛融云计算研究院,深圳市泛融云计算研究院,50-150人,未融资,南山区,java,5-10年,不限,15k-30k,福利好 待遇优 前景好 空间大,"企业服务,数据服务",开发|测试|运维类,"边缘计算,云计算,人工智能,5G",后端开发,深圳
107,深圳市动能无线传媒有限公司,动能无线,50-150人,未融资,南山区,高级java开发工程师,3-5年,本科,15k-25k,季度奖，平台大，五险一金，领导nice,"移动互联网,广告营销",开发|测试|运维类,"年底双薪,午餐补助,带薪年假,绩效奖金",后端开发,深圳
